PassengerId,Sex,Pclass,ClassXSex,FamilySize_large,FamilySize_small,FamilySize_solo,FarePerPerson,Age,IsChild,Embarked_C,Embarked_Q,Embarked_S,Embarked_unknown,Title_men,Title_noble,Title_other,Title_women,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_no_cabin,Survived
1,1,3,6,0,1,0,3.625,22.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,1,0,35.64165,38.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3,0,3,3,0,0,1,7.925,26.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4,0,1,1,0,1,0,26.55,35.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
5,1,3,6,0,0,1,8.05,35.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1,3,6,0,0,1,8.4583,25.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,1,4,0,0,1,51.8625,54.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,1,3,6,1,0,0,4.215,2.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,3,3,0,1,0,3.7111,27.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
10,0,2,2,0,1,0,15.0354,14.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
11,0,3,3,0,1,0,5.566666666666666,4.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
12,0,1,1,0,0,1,26.55,58.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
13,1,3,6,0,0,1,8.05,20.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,3,6,1,0,0,4.4678571428571425,39.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,3,3,0,0,1,7.8542,14.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16,0,2,2,0,0,1,16.0,55.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
17,1,3,6,1,0,0,4.854166666666667,2.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
18,1,2,5,0,0,1,13.0,30.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
19,0,3,3,0,1,0,9.0,31.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,0,3,3,0,0,1,7.225,21.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
21,1,2,5,0,0,1,26.0,35.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22,1,2,5,0,0,1,13.0,34.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
23,0,3,3,0,0,1,8.0292,15.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24,1,1,4,0,0,1,35.5,28.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
25,0,3,3,1,0,0,4.215,8.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26,0,3,3,1,0,0,4.483928571428572,38.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
27,1,3,6,0,0,1,7.225,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1,1,4,1,0,0,43.833333333333336,19.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29,0,3,3,0,0,1,7.8792,21.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
30,1,3,6,0,0,1,7.8958,25.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,1,4,0,0,1,27.7208,40.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,0,1,1,0,1,0,73.2604,35.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
33,0,3,3,0,0,1,7.75,21.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
34,1,2,5,0,0,1,10.5,66.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,1,1,4,0,1,0,41.0854,28.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1,1,4,0,1,0,26.0,42.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
37,1,3,6,0,0,1,7.2292,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
38,1,3,6,0,0,1,8.05,21.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,0,3,3,0,1,0,6.0,18.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,0,3,3,0,1,0,5.62085,14.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
41,0,3,3,0,1,0,4.7375,40.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,0,2,2,0,1,0,10.5,27.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
43,1,3,6,0,0,1,7.8958,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44,0,2,2,0,1,0,10.3948,3.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
45,0,3,3,0,0,1,7.8792,19.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
46,1,3,6,0,0,1,8.05,25.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
47,1,3,6,0,1,0,7.75,25.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
48,0,3,3,0,0,1,7.75,21.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
49,1,3,6,0,1,0,7.226400000000001,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
50,0,3,3,0,1,0,8.9,18.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,1,3,6,1,0,0,6.614583333333333,7.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
52,1,3,6,0,0,1,7.8,21.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
53,0,1,1,0,1,0,38.3646,49.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
54,0,2,2,0,1,0,13.0,29.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
55,1,1,4,0,1,0,30.9896,65.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
56,1,1,4,0,0,1,35.5,40.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
57,0,2,2,0,0,1,10.5,21.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
58,1,3,6,0,0,1,7.2292,28.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,0,2,2,0,1,0,6.9375,5.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
60,1,3,6,1,0,0,5.8625,11.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
61,1,3,6,0,0,1,7.2292,22.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
62,0,1,1,0,0,1,80.0,38.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
63,1,1,4,0,1,0,41.7375,45.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
64,1,3,6,1,0,0,4.6499999999999995,4.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
65,1,1,4,0,0,1,27.7208,40.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
66,1,3,6,0,1,0,5.081933333333333,25.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
67,0,2,2,0,0,1,10.5,29.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
68,1,3,6,0,0,1,8.1583,19.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
69,0,3,3,1,0,0,1.1321428571428571,17.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
